player_name,legend,BR Kills,BR Damage,BR Wins
RevengefulYT,Gibraltar,236,54151,74
RevengefulYT,Wattson,150,0,0
RevengefulYT,Fuse,10,0,0
RevengefulYT,Bangalore,308,0,0
RevengefulYT,Wraith,21098,0,0
RevengefulYT,Octane,0,0,0
RevengefulYT,Bloodhound,0,0,0
RevengefulYT,Caustic,570,0,0
RevengefulYT,Lifeline,272,68518,0
RevengefulYT,Pathfinder,0,0,0
RevengefulYT,Loba,5,0,0
RevengefulYT,Mirage,192,0,0
RevengefulYT,Rampart,11,0,0
RevengefulYT,Valkyrie,1,0,0
RevengefulYT,Seer,0,0,0
RevengefulYT,Ash,0,0,0
RevengefulYT,Mad Maggie,15,0,0
RevengefulYT,Newcastle,0,0,0
RevengefulYT,Vantage,0,0,0
RevengefulYT,Catalyst,0,0,0
RevengefulYT,Ballistic,0,0,0
RevengefulYT,Conduit,0,0,0
RevengefulYT,Alter,0,0,0
imVashy,Revenant,55,0,0
imVashy,Crypto,44,0,0
imVashy,Horizon,0,0,0
imVashy,Gibraltar,252,0,0
imVashy,Wattson,70,0,0
imVashy,Fuse,7,0,0
imVashy,Bangalore,127,0,0
imVashy,Wraith,227536,59046465,12001
imVashy,Octane,3167,0,0
imVashy,Bloodhound,131,0,0
imVashy,Caustic,237,0,0
imVashy,Lifeline,163,0,0
imVashy,Pathfinder,276,0,0
imVashy,Loba,80,0,0
imVashy,Mirage,95,0,0
imVashy,Rampart,78,0,0
imVashy,Valkyrie,0,0,0
imVashy,Seer,43,0,0
imVashy,Ash,0,0,0
imVashy,Mad Maggie,0,0,0
imVashy,Newcastle,0,0,0
imVashy,Vantage,0,0,0
imVashy,Catalyst,0,0,0
imVashy,Ballistic,0,0,0
imVashy,Conduit,0,0,0
imVashy,Alter,0,0,0
TitanStar01,Revenant,14,0,0
TitanStar01,Crypto,0,0,0
TitanStar01,Horizon,17,0,0
TitanStar01,Gibraltar,277,0,0
TitanStar01,Wattson,0,0,0
TitanStar01,Fuse,0,0,0
TitanStar01,Bangalore,1803,514209,114
TitanStar01,Wraith,1102,294929,0
TitanStar01,Octane,116,0,0
TitanStar01,Bloodhound,82,22409,0
TitanStar01,Caustic,31,8019,0
TitanStar01,Lifeline,222801,51921230,12580
TitanStar01,Pathfinder,0,0,0
TitanStar01,Loba,2350,518196,0
TitanStar01,Mirage,0,0,0
TitanStar01,Rampart,0,0,0
TitanStar01,Valkyrie,0,0,0
TitanStar01,Seer,0,0,0
TitanStar01,Ash,0,0,0
TitanStar01,Mad Maggie,9,0,0
TitanStar01,Newcastle,0,0,0
TitanStar01,Vantage,0,0,0
TitanStar01,Catalyst,0,0,0
TitanStar01,Ballistic,0,0,0
TitanStar01,Conduit,0,0,0
TitanStar01,Alter,0,0,0
Star-WayZ-,Revenant,0,0,0
Star-WayZ-,Crypto,0,0,0
Star-WayZ-,Horizon,0,0,0
Star-WayZ-,Gibraltar,0,0,0
Star-WayZ-,Wattson,0,0,0
Star-WayZ-,Fuse,0,0,0
Star-WayZ-,Bangalore,8724,2325554,653
Star-WayZ-,Wraith,0,0,0
Star-WayZ-,Octane,0,0,0
Star-WayZ-,Bloodhound,0,0,0
Star-WayZ-,Caustic,0,0,0
Star-WayZ-,Lifeline,0,0,0
Star-WayZ-,Pathfinder,0,0,0
Star-WayZ-,Loba,169000,42684165,12514
Star-WayZ-,Mirage,0,0,0
Star-WayZ-,Rampart,0,0,0
Star-WayZ-,Valkyrie,584,139682,48
Star-WayZ-,Seer,0,0,0
Star-WayZ-,Ash,0,0,0
Star-WayZ-,Mad Maggie,0,0,0
Star-WayZ-,Newcastle,0,0,0
Star-WayZ-,Vantage,0,0,0
Star-WayZ-,Catalyst,0,0,0
Star-WayZ-,Ballistic,0,0,0
Star-WayZ-,Conduit,0,0,0
Star-WayZ-,Alter,0,0,0
RezMeNoVa,Revenant,0,0,0
RezMeNoVa,Crypto,0,0,0
RezMeNoVa,Horizon,1128,306258,46
RezMeNoVa,Gibraltar,206,63458,8
RezMeNoVa,Wattson,194,55527,14
RezMeNoVa,Fuse,0,0,0
