player_name,BR Kills,BR Damage,BR Wins
4evererer,1379,188471,54
4evererer,1191,367154,0
4evererer,1107,370500,102
4evererer,985,246828,67
4evererer,850,210374,0
4evererer,459,129562,21
4evererer,377,97237,25
4evererer,361,119369,0
4evererer,284,76242,18
4evererer,154,36259,11
4evererer,34,14805,1
5bw,54504,15039302,0
5bw,2528,0,0
5bw,1137,0,0
5bw,932,0,0
5bw,454,127308,19
5bw,304,95505,16
5bw,53,0,0
5bw,27,9532,1
6AINZZ,45433,11457319,1181
6AINZZ,26472,7004976,1305
6AINZZ,23560,6346430,1384
6AINZZ,18724,5196167,999
6AINZZ,6296,1661160,419
6AINZZ,4843,1237069,257
6AINZZ,4810,0,0
6AINZZ,4608,1250824,269
6AINZZ,4450,0,0
6AINZZ,4370,1142035,0
6AINZZ,3373,949659,173
6AINZZ,3210,1196929,210
6AINZZ,2371,700859,101
6AINZZ,2311,626450,122
6AINZZ,1956,652176,113
6AINZZ,1617,430633,101
6AINZZ,1353,387700,81
6AINZZ,1240,354097,56
6AINZZ,1205,328478,0
6AINZZ,1164,299788,0
6AINZZ,1137,362817,82
6AINZZ,967,276638,45
6AINZZ,856,241052,49
6AINZZ,410,165211,0
6AINZZ,205,0,0
6AINZZ,0,207102,0
777Zachary,69823,20993496,0
777Zachary,3154,0,0
777Zachary,2883,0,0
777Zachary,1741,0,0
777Zachary,33,0,0
951,92639,22461451,5182
951,35122,8927293,2270
951,16189,4397213,0
951,9457,3142890,740
951,1267,362392,65
951,525,125187,21
951,441,88243,26
951,369,94787,0
951,201,79683,0
951,19,6955,1
951,12,4001,1
;.;,43254,12418467,1847
;.;,17567,0,0
;.;,13160,0,0
;.;,4955,0,0
;.;,3059,0,0
;.;,2601,0,0
;.;,1747,574570,144
;.;,1408,0,0
;.;,1395,470440,0
;.;,928,0,0
;.;,825,0,0
;.;,746,0,0
;.;,668,233856,0
;.;,564,0,0
;.;,450,160136,26
;.;,337,0,0
;.;,331,0,0
;.;,302,0,0
;.;,212,0,0
;.;,190,0,0
;.;,148,0,0
;.;,78,0,0
= =,31362,8447258,1692
= =,4236,1159331,67
= =,3765,0,0
= =,3066,0,0
= =,2204,736909,141
= =,1822,479885,85
= =,1714,0,0
= =,1287,362628,60
= =,1122,313683,66
= =,987,0,0
= =,834,239132,50
= =,818,0,0
= =,794,219953,52
= =,678,179607,50
= =,538,148142,30
= =,503,128059,26
= =,465,125105,24
= =,416,104061,0
= =,383,108742,23
= =,158,46305,5
@Doctoena,14190,4078922,783
@Doctoena,9083,2541501,498
@Doctoena,7822,7922141,1201
@Doctoena,4564,1404531,0
@Doctoena,3250,967742,156
@Doctoena,2542,734964,122
@Doctoena,2531,735059,0
@Doctoena,1414,430031,66
@Doctoena,744,225610,0
@Doctoena,704,220440,30
@Doctoena,638,0,0
@Doctoena,636,180121,33
@Doctoena,628,223205,0
@Doctoena,616,191461,28
@Doctoena,366,0,0
@Doctoena,359,99927,0
@Doctoena,287,0,0
@Doctoena,226,71038,12
@Doctoena,121,39149,0
@Doctoena,85,23446,288
@Doctoena,12,0,0
@Frailtey,114168,28490712,6032
@Frailtey,24994,5378271,0
@Frailtey,7993,2076818,343
@Frailtey,235,93918,0
@Frailtey,12,0,0
@IDKHowToAim,43968,10473001,3302
@IDKHowToAim,17750,3984473,1291
@IDKHowToAim,5478,0,0
@IDKHowToAim,1129,327525,0
@IDKHowToAim,936,0,0
@IDKHowToAim,572,0,0
@IDKHowToAim,172,0,0
@IDKHowToAim,104,0,0
@IDKHowToAim,101,0,0
@IDKHowToAim,58,0,0
@IconicOnTwitch,63822,18101319,4393
@IconicOnTwitch,2842,0,0
@IconicOnTwitch,2461,638685,129
@IconicOnTwitch,2375,687439,147
@IconicOnTwitch,1478,460774,0
@IconicOnTwitch,1371,366802,0
@IconicOnTwitch,1071,305370,0
@IconicOnTwitch,930,274069,55
@IconicOnTwitch,289,0,0
@IconicOnTwitch,112,0,0
@IconicOnTwitch,109,29948,8
@IconicOnTwitch,65,0,0
@MaestroJefe | Twitch,18497,4505568,837
@MaestroJefe | Twitch,15116,4144844,590
@MaestroJefe | Twitch,9141,0,0
@MaestroJefe | Twitch,8869,2491389,407
@MaestroJefe | Twitch,5158,1381631,197
@MaestroJefe | Twitch,4393,1572299,300
@MaestroJefe | Twitch,2031,602483,100
@MaestroJefe | Twitch,1824,0,0
@MaestroJefe | Twitch,1145,0,0
@MaestroJefe | Twitch,1104,281155,44
@MaestroJefe | Twitch,1089,276767,46
@MaestroJefe | Twitch,703,0,0
@MaestroJefe | Twitch,691,216271,26
@MaestroJefe | Twitch,461,142990,0
@MaestroJefe | Twitch,406,98327,17
@MaestroJefe | Twitch,321,0,0
@MaestroJefe | Twitch,273,0,0
@MaestroJefe | Twitch,253,82653,14
@MaestroJefe | Twitch,242,67744,6
@MaestroJefe | Twitch,128,0,0
@MaestroJefe | Twitch,115,0,0
@MaestroJefe | Twitch,111,31703,6
@MaestroJefe | Twitch,73,18955,0
@Pumbaa TV,60081,15894426,2838
@Pumbaa TV,27295,8122673,1245
@Pumbaa TV,1577,0,0
@Pumbaa TV,717,184357,0
@Pumbaa TV,659,235815,0
@SethVNGZ | youtube,142456,35241807,3233
@SethVNGZ | youtube,13214,3458730,396
@SethVNGZ | youtube,84,0,0
@Skillzyyy,52757,15055222,3212
@Skillzyyy,9323,2955302,596
@Skillzyyy,5153,0,0
@Skillzyyy,2162,686675,103
@Skillzyyy,1428,0,0
@Skillzyyy,1365,505375,0
@Skillzyyy,1238,275165,34
@Skillzyyy,1030,298675,57
@Skillzyyy,853,0,0
@Skillzyyy,372,131874,22
@Skillzyyy,157,37533,11
@Skillzyyy,108,0,0
@UhBismol,156846,25622341,6358
@UhBismol,3522,851047,204
@UhBismol,602,134224,34
@UhBismol,390,0,0
@UhBismol,129,0,0
@UhBismol,69,0,0
@UhBismol,13,0,0
@Yo4TqKq,10806,0,0
@Yo4TqKq,10399,0,0
@Yo4TqKq,10188,0,0
@Yo4TqKq,9958,0,0
@Yo4TqKq,7303,0,0
@Yo4TqKq,5114,0,0
@Yo4TqKq,354,0,0
@Yo4TqKq,5,0,0
@blushy washed eboy,121752,31378559,6749
@blushy washed eboy,8110,0,0
@blushy washed eboy,1519,476371,0
@blushy washed eboy,1109,0,0
@blushy washed eboy,1007,0,0
@blushy washed eboy,912,0,0
@blushy washed eboy,692,0,0
@blushy washed eboy,426,0,0
@blushy washed eboy,351,107416,15
@blushy washed eboy,301,0,0
@blushy washed eboy,229,0,0
@blushy washed eboy,220,0,0
@crewsn,26322,7369060,0
@crewsn,11927,3625705,586
@crewsn,11807,3048628,494
@crewsn,9104,3155572,0
@crewsn,8427,2504218,410
@crewsn,5643,1763609,454
@crewsn,4229,1248734,220
@crewsn,1574,0,0
@crewsn,1174,0,0
@crewsn,1098,388724,67
@crewsn,971,359436,59
@crewsn,273,104573,0
@crewsn,157,0,0
@crewsn,131,0,0
@crewsn,50,0,0
@crewsn,25,12667,0
@crewsn,15,0,0
@crewsn,13,0,0
@crewsn,12,0,0
@hundredz Twitch,66668,19288230,3069
@hundredz Twitch,7826,0,0
@hundredz Twitch,6169,1950663,274
@hundredz Twitch,5504,2028767,290
@hundredz Twitch,5071,1608676,295
@hundredz Twitch,4935,1875626,275
@hundredz Twitch,4704,1632880,205
@hundredz Twitch,4351,1538372,170
@hundredz Twitch,2609,935446,158
@hundredz Twitch,1334,495486,80
@hundredz Twitch,1140,398754,58
@hundredz Twitch,978,305146,38
@hundredz Twitch,820,0,0
@hundredz Twitch,801,289132,0
@hundredz Twitch,733,261643,0
@hundredz Twitch,601,198168,25
@hundredz Twitch,594,0,0
@hundredz Twitch,373,0,0
@hundredz Twitch,168,0,0
@hundredz Twitch,82,0,0
@rFearful,59056,16278926,0
@rFearful,20344,6008842,0
@rFearful,7577,2492029,0
@rFearful,6795,1826016,0
@rFearful,4547,1271981,0
@rFearful,1394,364371,0
@rFearful,1013,316645,0
@rFearful,996,326419,0
@rFearful,827,255109,0
@rFearful,695,185477,0
@rFearful,641,178582,0
@rFearful,424,0,0
@rFearful,416,153961,0
@rFearful,322,105033,0
@rFearful,320,58819,0
@rFearful,311,86531,0
@rFearful,0,26348,0
@rMewt,15943,10080230,0
@rMewt,11031,0,0
@rMewt,9014,0,0
@rMewt,4598,1277639,0
@rMewt,2356,0,0
@rMewt,1130,0,0
@rMewt,1091,340824,0
@rMewt,961,0,0
@rMewt,407,0,0
@rMewt,396,0,0
@rMewt,49,0,0
@rMewt,19,0,0
A9999,28106,7555165,1630
A9999,18828,5737580,1167
A9999,17478,3980176,1123
A9999,7119,1877583,524
A9999,7052,1527935,386
A9999,3789,1119342,214
A9999,3564,934779,287
A9999,1901,493392,145
A9999,1879,637831,26
A9999,1758,521743,139
A9999,1646,410623,127
A9999,1501,518076,92
A9999,1259,323544,87
A9999,813,243366,42
A9999,704,245838,41
A9999,519,127208,30
A9999,380,112207,27
A9999,361,96392,24
A9999,292,83260,17
A9999,175,55247,10
A9999,58,0,0
A9999,30,8392,1
ABCDEFGHIJKLMNOPQRSTUVWXYZ,66582,18150591,1919
ABCDEFGHIJKLMNOPQRSTUVWXYZ,8806,2454697,231
ABCDEFGHIJKLMNOPQRSTUVWXYZ,4241,1178879,92
ABCDEFGHIJKLMNOPQRSTUVWXYZ,3018,755289,104
ABCDEFGHIJKLMNOPQRSTUVWXYZ,2580,750928,66
ABCDEFGHIJKLMNOPQRSTUVWXYZ,2038,534812,60
ABCDEFGHIJKLMNOPQRSTUVWXYZ,832,247830,16
ABCDEFGHIJKLMNOPQRSTUVWXYZ,726,204487,19
ABCDEFGHIJKLMNOPQRSTUVWXYZ,661,190015,0
ABCDEFGHIJKLMNOPQRSTUVWXYZ,476,129095,11
ABCDEFGHIJKLMNOPQRSTUVWXYZ,373,103511,10
ABCDEFGHIJKLMNOPQRSTUVWXYZ,264,78355,0
ABCDEFGHIJKLMNOPQRSTUVWXYZ,130,36548,3
ABCDEFGHIJKLMNOPQRSTUVWXYZ,94,29892,0
ABCDEFGHIJKLMNOPQRSTUVWXYZ,19,0,0
ABCDEFGHIJKLMNOPQRSTUVWXYZ,12,3329,0
AG Kuroton,27216,8209550,1311
AG Kuroton,10416,3245482,534
AG Kuroton,6075,1903377,240
AG Kuroton,5554,0,0
AG Kuroton,4928,0,0
AG Kuroton,4041,1282148,161
AG Kuroton,2269,0,0
AG Kuroton,2120,0,0
AG Kuroton,1825,651175,0
AG Kuroton,1589,0,0
AG Kuroton,1415,506492,0
AG Kuroton,1034,0,0
AG Kuroton,694,0,0
AG Kuroton,594,0,0
AG Kuroton,382,113687,13
AG Kuroton,372,0,0
AG Kuroton,345,123705,17
AG Kuroton,116,37582,0
AG Kuroton,64,0,0
AG Kuroton,62,24795,4
AG Kuroton,25,0,0
AG Kuroton,0,105762,0
AGL_Jacky1_BAN,22842,6520389,1879
AGL_Jacky1_BAN,13455,3879199,1120
AGL_Jacky1_BAN,13238,3598975,1208
AGL_Jacky1_BAN,5240,1641246,484
AGL_Jacky1_BAN,4886,1452456,451
AGL_Jacky1_BAN,3499,1103831,234
AGL_Jacky1_BAN,2012,628421,138
AGL_Jacky1_BAN,1755,598309,162
AGL_Jacky1_BAN,1378,501709,132
AGL_Jacky1_BAN,1264,397477,0
AGL_Jacky1_BAN,1041,380210,148
AGL_Jacky1_BAN,907,314238,78
AGL_Jacky1_BAN,736,226594,50
AGL_Jacky1_BAN,41,13137,4
AGL_Jacky1_BAN,9,2755,1
AGL_Jacky1_BAN,0,308132,0
AGL_Jacky1_BAN,0,129017,0
AIIiance_effect,100843,0,0
AIIiance_effect,10937,0,0
AIIiance_effect,4795,0,0
AIIiance_effect,2936,764790,0
AIIiance_effect,2469,0,0
AIIiance_effect,135,0,0
AIfxnzy-,330,0,0
AIwaysLovedYou,41073,9004434,2159
AIwaysLovedYou,23212,6047883,1302
AIwaysLovedYou,7039,2312100,0
AIwaysLovedYou,6280,0,0
AIwaysLovedYou,3587,1155709,201
AIwaysLovedYou,3346,1035690,190
AIwaysLovedYou,2551,704826,0
AIwaysLovedYou,2064,0,0
AIwaysLovedYou,1885,0,0
AIwaysLovedYou,1558,359267,108
AIwaysLovedYou,1348,0,0
AIwaysLovedYou,1166,0,0
AIwaysLovedYou,696,176776,41
AIwaysLovedYou,632,0,0
AIwaysLovedYou,566,91860,0
AIwaysLovedYou,511,0,0
AIwaysLovedYou,134,44134,4
AIwaysLovedYou,114,0,0
AIwaysLovedYou,56,0,0
ALSHANAB__,98044,0,0
ANES+,76345,18373683,0
ANES+,6865,2603496,310
ANES+,5209,1747352,304
ANES+,88,0,0
AQUA peeks,112011,27307066,0
AQUA peeks,410,134493,0
ASKYY,20837,6339259,1399
ASKYY,13772,3934322,724
ASKYY,11776,5015430,895
ASKYY,9850,3917776,711
ASKYY,7743,3119693,545
ASKYY,7538,1994902,347
ASKYY,5454,2161893,365
ASKYY,4698,0,0
ASKYY,2961,0,0
ASKYY,1503,725412,70
ASKYY,519,131789,0
