Kills
192,425
177,520
172,382
170,902
168,326
166,350
162,274
157,981
157,477
143,286
129,828
126,127
123,720
123,379
122,030
122,027
118,236
117,471
115,514
114,439
114,116
113,409
112,217
112,121
111,128
110,982
109,515
106,859
106,010
105,321
105,231
104,782
104,774
104,541
104,541
103,437
103,022
102,720
102,353
101,625
99,931
99,790
98,278
97,763
96,189
96,187
96,101
95,763
94,430
92,919
92,492
91,427
91,358
91,218
90,641
90,552
90,320
89,018
87,813
87,541
87,062
86,461
86,230
85,877
85,002
84,508
83,767
83,699
83,457
83,075
82,682
82,480
82,145
81,543
80,957
80,950
80,571
80,262
80,115
80,056
79,756
79,594
79,064
78,737
76,793
76,642
75,661
75,381
74,662
74,604
74,593
74,458
73,920
73,705
73,691
73,418
73,385
73,317
73,302
73,038
72,470
72,411
72,284
71,684
71,639
71,575
71,481
71,421
70,705
70,344
70,333
70,147
70,090
69,567
69,502
68,885
68,667
68,656
68,611
68,584
68,505
68,246
68,225
68,196
68,196
68,159
68,095
68,005
67,949
67,919
67,876
67,806
67,370
67,313
67,299
67,236
67,235
67,202
67,139
67,056
66,503
66,453
66,195
66,176
66,128
66,122
66,116
65,989
65,947
65,908
65,853
65,780
65,541
65,424
65,121
64,675
64,663
64,622
64,614
64,599
64,316
63,756
63,626
63,385
63,246
63,055
63,036
62,922
62,896
62,696
62,689
62,522
62,447
62,446
62,426
62,374
62,267
62,230
62,223
62,185
62,165
62,091
62,069
61,846
61,680
61,622
61,602
61,375
61,345
61,331
61,200
61,005
60,991
60,984
60,892
60,766
60,322
60,234
60,096
60,074
59,987
59,554
59,394
59,371
58,727
58,688
58,668
58,626
58,579
58,474
58,434
58,397
58,354
58,113
57,614
57,364
57,355
57,216
57,159
57,038
56,999
56,969
56,960
56,840
56,783
56,702
56,670
56,615
56,605
56,497
56,408
56,380
56,370
56,355
56,247
56,026
55,921
55,759
55,671
55,578
55,490
55,420
55,279
55,225
55,186
55,029
54,996
54,890
54,855
54,711
54,697
54,660
54,659
54,626
54,522
54,262
54,156
53,937
53,742
53,707
53,667
53,640
53,478
53,450
53,447
53,342
53,306
53,290
53,283
53,122
53,088
53,029
52,941
52,897
52,820
52,622
52,549
52,437
52,260
52,113
51,989
51,961
51,960
51,792
51,635
51,634
51,594
51,563
51,553
51,474
51,418
51,374
51,351
51,336
51,276
51,028
50,857
50,743
50,638
50,620
50,583
50,580
50,460
50,409
50,408
50,399
50,366
50,252
50,210
50,196
50,117
50,107
50,107
50,091
50,076
50,058
50,004
49,999
49,927
49,845
49,831
49,825
49,673
49,652
49,566
49,518
49,418
49,330
49,274
49,234
49,185
49,121
49,055
49,005
48,828
48,819
48,817
48,774
48,757
48,666
48,654
48,609
48,415
48,386
48,321
48,314
48,311
48,221
48,166
48,104
47,798
47,767
47,669
47,656
47,634
47,524
47,385
47,384
47,313
47,312
47,259
47,087
47,034
47,011
46,982
46,954
46,926
46,894
46,877
46,803
46,698
46,574
46,561
46,544
46,461
46,460
46,348
46,324
46,323
46,265
46,201
46,091
46,063
46,031
46,026
45,959
45,942
45,871
45,861
45,839
45,838
45,783
45,748
45,694
45,692
45,683
45,661
45,642
45,591
45,583
45,583
45,560
45,540
45,507
45,491
45,491
45,490
45,480
45,449
45,415
45,353
45,351
45,317
45,296
45,286
45,249
45,248
45,182
45,136
45,064
45,058
45,037
45,034
45,013
44,997
44,972
44,847
44,799
44,797
44,696
44,692
44,590
44,556
44,551
44,547
44,417
44,370
44,288
44,279
44,235
44,224
44,183
44,164
44,099
44,088
44,028
43,971
43,964
43,909
43,896
43,890
43,870
43,859
43,847
43,770
43,673
43,653
43,648
43,648
43,616
43,605
43,513
43,505
43,471
43,438
43,424
43,331
43,329
43,301
43,297
43,247
43,245
43,219
43,205
43,189
43,153
43,140
43,106
43,047
43,032
43,012
42,984
42,954
42,926
42,897
42,861
42,860
42,858
42,858
42,850
42,845
42,825
42,810
42,791
42,740
42,522
42,420
42,397
42,366
42,338
