player_name,legend,BR Kills,BR Damage,BR Wins,legend_category
AA_R_E_S_,Ash,32,0,0,Assault
ABIDE_Mickeyboy,Loba,65068,18725083,3868,Support
ABIDE_Mickeyboy,Bangalore,4413,0,0,Assault
ABIDE_Mickeyboy,Valkyrie,3734,1386828,244,Skirmisher
ABIDE_Mickeyboy,Horizon,3659,898437,157,Skirmisher
ABIDE_Mickeyboy,Conduit,2128,0,0,Support
ABIDE_Mickeyboy,Pathfinder,1977,0,102,Skirmisher
ABIDE_Mickeyboy,Lifeline,1922,0,0,Support
ABIDE_Mickeyboy,Gibraltar,1799,682977,108,Support
ABIDE_Mickeyboy,Bloodhound,1256,0,0,Recon
ABIDE_Mickeyboy,Octane,1222,0,0,Skirmisher
ABIDE_Mickeyboy,Newcastle,1119,0,0,Support
ABIDE_Mickeyboy,Wattson,977,372879,62,Controller
ABIDE_Mickeyboy,Rampart,963,0,0,Controller
ABIDE_Mickeyboy,Wraith,947,0,0,Skirmisher
ABIDE_Mickeyboy,Seer,907,0,0,Recon
ABIDE_Mickeyboy,Ash,833,0,0,Assault
ABIDE_Mickeyboy,Revenant,745,0,0,Skirmisher
ABIDE_Mickeyboy,Mad Maggie,719,0,0,Assault
ABIDE_Mickeyboy,Fuse,432,0,0,Assault
ABIDE_Mickeyboy,Caustic,381,0,0,Controller
ABIDE_Mickeyboy,Catalyst,262,3115,0,Controller
ABIDE_Mickeyboy,Mirage,220,0,0,Support
ABIDE_Mickeyboy,Crypto,152,0,0,Recon
ABIDE_Mickeyboy,Vantage,52,0,0,Recon
AIM-ga-TORISU,Wraith,67141,17260132,2295,Skirmisher
AIM-ga-TORISU,Bangalore,24768,0,0,Assault
AIM-ga-TORISU,Octane,6800,0,0,Skirmisher
AIM-ga-TORISU,Pathfinder,3991,0,0,Skirmisher
AIM-ga-TORISU,Lifeline,2470,0,0,Support
AIM-ga-TORISU,Caustic,2447,0,0,Controller
AIM-ga-TORISU,Wattson,1690,0,0,Controller
AIM-ga-TORISU,Mad Maggie,1635,0,0,Assault
AIM-ga-TORISU,Revenant,452,0,0,Skirmisher
AIM-ga-TORISU,Rampart,120,0,0,Controller
AIfxnzy-,Lifeline,75747,15938382,4215,Support
AIfxnzy-,Bangalore,8500,2363717,456,Assault
AIfxnzy-,Pathfinder,4291,943664,154,Skirmisher
AIfxnzy-,Gibraltar,4090,1054459,212,Support
AIfxnzy-,Wraith,3474,0,0,Skirmisher
AIfxnzy-,Ballistic,3134,0,0,Assault
AIfxnzy-,Horizon,2537,743266,130,Skirmisher
AIfxnzy-,Revenant,749,44796,10,Skirmisher
AIfxnzy-,Octane,624,0,0,Skirmisher
AIfxnzy-,Seer,318,0,0,Recon
AIfxnzy-,Bloodhound,294,0,0,Recon
AIfxnzy-,Catalyst,23,0,0,Controller
AIfxnzy-,Rampart,2,0,0,Controller
AIwaysLovedYou,Octane,35539,8508099,1822,Skirmisher
AIwaysLovedYou,Pathfinder,20309,5222020,1140,Skirmisher
AIwaysLovedYou,Bangalore,6512,2312100,0,Assault
AIwaysLovedYou,Wraith,5859,1516946,0,Skirmisher
AIwaysLovedYou,Valkyrie,3300,1014945,170,Skirmisher
AIwaysLovedYou,Horizon,3261,1031040,180,Skirmisher
AIwaysLovedYou,Bloodhound,2240,701331,0,Recon
AIwaysLovedYou,Gibraltar,2097,613026,131,Support
AIwaysLovedYou,Catalyst,2064,401320,0,Controller
AIwaysLovedYou,Lifeline,1660,395772,0,Support
AIwaysLovedYou,Wattson,1241,328833,81,Controller
AIwaysLovedYou,Loba,1238,369317,89,Support
AIwaysLovedYou,Caustic,1214,291127,0,Controller
AIwaysLovedYou,Mirage,624,150841,38,Support
AIwaysLovedYou,Revenant,543,210010,40,Skirmisher
AIwaysLovedYou,Mad Maggie,436,138059,0,Assault
AIwaysLovedYou,Fuse,392,0,0,Assault
AIwaysLovedYou,Seer,136,52542,0,Recon
AIwaysLovedYou,Ash,109,3404,0,Assault
AIwaysLovedYou,Rampart,65,16803,1,Controller
AIwaysLovedYou,Conduit,3,0,0,Support
ALSHANAB__,Pathfinder,88383,21536152,5251,Skirmisher
ALSHANAB__,Bangalore,1017,322374,0,Assault
ALSHANAB__,Bloodhound,879,356740,0,Recon
ALSHANAB__,Gibraltar,501,0,0,Support
ALSHANAB__,Wraith,405,0,0,Skirmisher
ALSHANAB__,Caustic,348,0,30,Controller
APex_WHITEWOLF,Wraith,65438,14164808,2083,Skirmisher
APex_WHITEWOLF,Horizon,4089,1102688,137,Skirmisher
APex_WHITEWOLF,Revenant,3869,1023002,0,Skirmisher
APex_WHITEWOLF,Octane,3015,801346,94,Skirmisher
APex_WHITEWOLF,Pathfinder,1834,458899,47,Skirmisher
APex_WHITEWOLF,Bloodhound,1634,444669,0,Recon
APex_WHITEWOLF,Ash,1368,413183,0,Assault
APex_WHITEWOLF,Catalyst,1231,315233,0,Controller
APex_WHITEWOLF,Valkyrie,495,151353,20,Skirmisher
APex_WHITEWOLF,Ballistic,358,0,0,Assault
APex_WHITEWOLF,Gibraltar,322,96158,9,Support
APex_WHITEWOLF,Rampart,287,82375,3,Controller
APex_WHITEWOLF,Caustic,85,23663,0,Controller
APex_WHITEWOLF,Wattson,76,19853,4,Controller
AQUAS_SPIRIT,Wraith,45015,13467855,4192,Skirmisher
AQUAS_SPIRIT,Bloodhound,8713,2510571,704,Recon
AQUAS_SPIRIT,Newcastle,7597,0,0,Support
AQUAS_SPIRIT,Octane,6623,1945006,512,Skirmisher
AQUAS_SPIRIT,Horizon,5414,1626420,488,Skirmisher
AQUAS_SPIRIT,Pathfinder,2712,796856,191,Skirmisher
AQUAS_SPIRIT,Seer,2416,686148,217,Recon
AQUAS_SPIRIT,Valkyrie,2288,715191,178,Skirmisher
AQUAS_SPIRIT,Lifeline,1528,474260,110,Support
AQUAS_SPIRIT,Bangalore,1527,485708,93,Assault
AQUAS_SPIRIT,Gibraltar,1384,456336,80,Support
AQUAS_SPIRIT,Revenant,1068,391208,0,Skirmisher
AQUAS_SPIRIT,Ash,674,0,0,Assault
AQUAS_SPIRIT,Mirage,557,0,0,Support
AQUAS_SPIRIT,Caustic,457,0,0,Controller
AQUAS_SPIRIT,Mad Maggie,421,125523,30,Assault
AQUAS_SPIRIT,Crypto,374,126680,0,Recon
AQUAS_SPIRIT,Fuse,321,98377,27,Assault
AQUAS_SPIRIT,Loba,161,0,0,Support
AQUAS_SPIRIT,Rampart,25,0,0,Controller
ARODR1_TTG,Pathfinder,70099,18803748,0,Skirmisher
ARODR1_TTG,Horizon,40079,10177468,0,Skirmisher
ARODR1_TTG,Bangalore,11142,3008364,0,Assault
ARODR1_TTG,Wraith,8497,2346327,0,Skirmisher
ARODR1_TTG,Octane,2767,0,0,Skirmisher
ARODR1_TTG,Gibraltar,2307,742319,123,Support
ARODR1_TTG,Bloodhound,1774,0,0,Recon
ARODR1_TTG,Lifeline,1733,455185,0,Support
ARODR1_TTG,Vantage,1261,0,0,Recon
AWESOME4SUMM,Bangalore,92919,25775698,5391,Assault
AWESOME4SUMM,Vantage,1735,648164,0,Recon
AWESOME4SUMM,Bloodhound,1051,0,0,Recon
AWESOME4SUMM,Loba,842,250814,45,Support
AWESOME4SUMM,Crypto,499,0,0,Recon
AWESOME4SUMM,Wattson,293,0,0,Controller
AWESOME4SUMM,Valkyrie,280,0,0,Skirmisher
AWESOME4SUMM,Mirage,219,0,0,Support
AWESOME4SUMM,Fuse,98,0,0,Assault
AWESOME4SUMM,Ash,91,0,0,Assault
AWESOME4SUMM,Seer,37,0,0,Recon
AWESOME4SUMM,Wraith,0,0,59,Skirmisher
AbyssionHanmaTTV,Fuse,91550,23529583,5705,Assault
AbyssionHanmaTTV,Revenant,30052,7492585,0,Skirmisher
AbyssionHanmaTTV,Pathfinder,14270,3637445,0,Skirmisher
AbyssionHanmaTTV,Octane,3379,831897,0,Skirmisher
AbyssionHanmaTTV,Gibraltar,2359,640746,0,Support
AbyssionHanmaTTV,Bangalore,2086,552860,0,Assault
AbyssionHanmaTTV,Bloodhound,878,213817,0,Recon
AbyssionHanmaTTV,Mirage,527,126167,0,Support
AbyssionHanmaTTV,Crypto,378,0,0,Recon
AbyssionHanmaTTV,Wraith,344,0,0,Skirmisher
AbyssionHanmaTTV,Rampart,168,0,0,Controller
AbyssionHanmaTTV,Wattson,125,0,0,Controller
AbyssionHanmaTTV,Horizon,93,0,0,Skirmisher
AbyssionHanmaTTV,Newcastle,34,9792,0,Support
AbyssionHanmaTTV,Seer,23,0,0,Recon
AbyssionHanmaTTV,Loba,7,0,0,Support
AbyssionHanmaTTV,Valkyrie,0,68673,0,Skirmisher
AcedHigh,Pathfinder,60436,15896544,4663,Skirmisher
AcedHigh,Valkyrie,11520,3105073,485,Skirmisher
AcedHigh,Octane,1030,0,0,Skirmisher
AcedHigh,Revenant,400,104002,24,Skirmisher
AcedHigh,Bloodhound,267,0,0,Recon
AcedHigh,Lifeline,182,0,0,Support
AcedHigh,Ash,172,0,0,Assault
AcedHigh,Seer,28,0,0,Recon
Aches&Pains,Bloodhound,252763,67738521,24015,Recon
Aches&Pains,Fuse,1391,0,0,Assault
Aches&Pains,Caustic,538,183877,0,Controller
Aches&Pains,Pathfinder,143,0,0,Skirmisher
Aches&Pains,Rampart,142,0,0,Controller
Aches&Pains,Revenant,117,28368,8,Skirmisher
Aches&Pains,Mirage,77,0,0,Support
Aches&Pains,Mad Maggie,69,0,0,Assault
Aches&Pains,Seer,48,0,0,Recon
AggressiveExpert,Wraith,35373,10837275,1564,Skirmisher
AggressiveExpert,Horizon,20739,6497094,937,Skirmisher
AggressiveExpert,Bangalore,9269,1089590,0,Assault
AggressiveExpert,Octane,3140,980108,0,Skirmisher
AggressiveExpert,Pathfinder,2963,859545,0,Skirmisher
AggressiveExpert,Loba,1061,323185,65,Support
AggressiveExpert,Revenant,935,0,0,Skirmisher
AggressiveExpert,Valkyrie,504,0,0,Skirmisher
AggressiveExpert,Conduit,348,0,0,Support
AggressiveExpert,Caustic,272,0,0,Controller
AggressiveExpert,Mad Maggie,13,4655,2,Assault
Ahzyee,Wraith,59860,15175449,2188,Skirmisher
Ahzyee,Loba,9050,2424378,907,Support
Ahzyee,Horizon,3921,0,0,Skirmisher
Ahzyee,Pathfinder,3225,0,0,Skirmisher
Ahzyee,Revenant,2124,644766,166,Skirmisher
Ahzyee,Octane,1106,275137,38,Skirmisher
Ahzyee,Bloodhound,767,0,0,Recon
Ahzyee,Gibraltar,170,0,0,Support
Ahzyee,Valkyrie,41,0,0,Skirmisher
Ahzyee,Crypto,15,0,0,Recon
AiiiFl,Mirage,25116,6698250,2104,Support
AiiiFl,Octane,23146,6762102,1575,Skirmisher
AiiiFl,Wraith,14221,4256835,0,Skirmisher
AiiiFl,Bangalore,5161,0,0,Assault
AiiiFl,Pathfinder,4420,1285411,295,Skirmisher
AiiiFl,Bloodhound,874,0,0,Recon
AiiiFl,Ash,556,0,0,Assault
AiiiFl,Revenant,509,177590,16,Skirmisher
AiiiFl,Gibraltar,368,0,0,Support
AiiiFl,Seer,135,0,0,Recon
AimAssistAbxsrTV,Rampart,23512,6614901,1211,Controller
AimAssistAbxsrTV,Lifeline,19471,5422585,941,Support
AimAssistAbxsrTV,Wraith,15684,4928740,0,Skirmisher
AimAssistAbxsrTV,Pathfinder,5510,0,0,Skirmisher
AimAssistAbxsrTV,Horizon,4964,1180619,0,Skirmisher
AimAssistAbxsrTV,Valkyrie,4454,1341001,220,Skirmisher
AimAssistAbxsrTV,Bloodhound,2248,657208,0,Recon
AimAssistAbxsrTV,Loba,2182,722677,0,Support
AimAssistAbxsrTV,Bangalore,2013,0,0,Assault
AimAssistAbxsrTV,Wattson,1861,524883,0,Controller
AimAssistAbxsrTV,Octane,1731,483154,0,Skirmisher
AimAssistAbxsrTV,Catalyst,1679,0,0,Controller
AimAssistAbxsrTV,Gibraltar,1591,503811,0,Support
AimAssistAbxsrTV,Mad Maggie,1518,445555,0,Assault
AimAssistAbxsrTV,Seer,1261,382965,0,Recon
AimAssistAbxsrTV,Ash,266,85322,0,Assault
AimAssistAbxsrTV,Ballistic,118,0,0,Assault
AimAssistAbxsrTV,Vantage,17,0,0,Recon
Airflow_11,Valkyrie,26034,7493743,965,Skirmisher
Airflow_11,Horizon,11183,0,0,Skirmisher
Airflow_11,Wraith,10065,2823859,405,Skirmisher
Airflow_11,Octane,4640,1267083,189,Skirmisher
