player_name,legend,BR Kills,BR Damage,BR Wins
F.O.E,Octane,0,0,0
F.O.E,Bloodhound,252763,67738521,24015
F.O.E,Caustic,0,0,0
F.O.E,Lifeline,0,0,0
F.O.E,Pathfinder,143,0,0
F.O.E,Loba,0,0,0
F.O.E,Mirage,77,0,0
F.O.E,Rampart,150,0,0
F.O.E,Valkyrie,0,0,0
F.O.E,Seer,45,0,0
F.O.E,Ash,0,0,0
F.O.E,Mad Maggie,92,0,0
F.O.E,Newcastle,0,0,0
F.O.E,Vantage,0,0,0
F.O.E,Catalyst,0,0,0
F.O.E,Ballistic,0,0,0
F.O.E,Conduit,0,0,0
F.O.E,Alter,0,0,0
HappieVIII,Revenant,0,0,0
HappieVIII,Crypto,0,0,0
HappieVIII,Horizon,231413,0,0
HappieVIII,Gibraltar,1304,0,0
HappieVIII,Wattson,98,0,0
HappieVIII,Fuse,0,0,0
HappieVIII,Bangalore,0,0,0
HappieVIII,Wraith,0,0,0
HappieVIII,Octane,0,0,0
HappieVIII,Bloodhound,0,0,0
HappieVIII,Caustic,0,0,0
HappieVIII,Lifeline,0,0,0
HappieVIII,Pathfinder,0,0,0
HappieVIII,Loba,0,0,0
HappieVIII,Mirage,0,0,0
HappieVIII,Rampart,0,0,0
HappieVIII,Valkyrie,0,0,0
HappieVIII,Seer,0,0,0
HappieVIII,Ash,0,0,0
HappieVIII,Mad Maggie,0,0,0
HappieVIII,Newcastle,0,0,0
HappieVIII,Vantage,0,0,0
HappieVIII,Catalyst,0,0,0
HappieVIII,Ballistic,0,0,0
HappieVIII,Conduit,0,0,0
HappieVIII,Alter,0,0,0
Unknown name :(,Revenant,0,0,0
Unknown name :(,Crypto,0,0,0
Unknown name :(,Horizon,0,0,0
Unknown name :(,Gibraltar,0,0,0
Unknown name :(,Wattson,0,0,0
Unknown name :(,Fuse,0,0,0
Unknown name :(,Bangalore,0,0,0
Unknown name :(,Wraith,106,30449,0
Unknown name :(,Octane,0,0,0
Unknown name :(,Bloodhound,2054,539775,0
Unknown name :(,Caustic,0,0,0
Unknown name :(,Lifeline,0,0,0
Unknown name :(,Pathfinder,0,0,0
Unknown name :(,Loba,0,0,0
Unknown name :(,Mirage,0,0,0
Unknown name :(,Rampart,0,0,0
Unknown name :(,Valkyrie,0,0,0
Unknown name :(,Seer,0,0,0
Unknown name :(,Ash,0,0,0
Unknown name :(,Mad Maggie,0,0,0
Unknown name :(,Newcastle,0,0,0
Unknown name :(,Vantage,0,0,0
Unknown name :(,Catalyst,0,0,0
Unknown name :(,Ballistic,0,0,0
Unknown name :(,Conduit,0,0,0
Unknown name :(,Alter,0,0,0
Forget Dat,Revenant,0,0,0
Forget Dat,Crypto,0,0,0
Forget Dat,Horizon,0,0,0
Forget Dat,Gibraltar,72,0,0
Forget Dat,Wattson,0,0,0
Forget Dat,Fuse,0,0,0
