player_name,BR Damage_Alter,BR Damage_Ash,BR Damage_Ballistic,BR Damage_Bangalore,BR Damage_Bloodhound,BR Damage_Catalyst,BR Damage_Caustic,BR Damage_Conduit,BR Damage_Crypto,BR Damage_Fuse,BR Damage_Gibraltar,BR Damage_Horizon,BR Damage_Lifeline,BR Damage_Loba,BR Damage_Mad Maggie,BR Damage_Mirage,BR Damage_Newcastle,BR Damage_Octane,BR Damage_Pathfinder,BR Damage_Rampart,BR Damage_Revenant,BR Damage_Seer,BR Damage_Valkyrie,BR Damage_Vantage,BR Damage_Wattson,BR Damage_Wraith,BR Kills_Alter,BR Kills_Ash,BR Kills_Ballistic,BR Kills_Bangalore,BR Kills_Bloodhound,BR Kills_Catalyst,BR Kills_Caustic,BR Kills_Conduit,BR Kills_Crypto,BR Kills_Fuse,BR Kills_Gibraltar,BR Kills_Horizon,BR Kills_Lifeline,BR Kills_Loba,BR Kills_Mad Maggie,BR Kills_Mirage,BR Kills_Newcastle,BR Kills_Octane,BR Kills_Pathfinder,BR Kills_Rampart,BR Kills_Revenant,BR Kills_Seer,BR Kills_Valkyrie,BR Kills_Vantage,BR Kills_Wattson,BR Kills_Wraith,BR Wins_Alter,BR Wins_Ash,BR Wins_Ballistic,BR Wins_Bangalore,BR Wins_Bloodhound,BR Wins_Catalyst,BR Wins_Caustic,BR Wins_Conduit,BR Wins_Crypto,BR Wins_Fuse,BR Wins_Gibraltar,BR Wins_Horizon,BR Wins_Lifeline,BR Wins_Loba,BR Wins_Mad Maggie,BR Wins_Mirage,BR Wins_Newcastle,BR Wins_Octane,BR Wins_Pathfinder,BR Wins_Rampart,BR Wins_Revenant,BR Wins_Seer,BR Wins_Valkyrie,BR Wins_Vantage,BR Wins_Wattson,BR Wins_Wraith
AAG_Wolfy,0.0,0.0,0.0,0.0,503910.0,0.0,330894.0,0.0,0.0,0.0,0.0,329042.0,0.0,3242275.0,0.0,0.0,0.0,675618.0,701342.0,0.0,55862.0,0.0,237708.0,0.0,52114.0,13155905.0,8788.0,0.0,0.0,0.0,1774.0,0.0,1215.0,0.0,0.0,0.0,3093.0,1080.0,0.0,14544.0,0.0,0.0,0.0,2561.0,2596.0,0.0,181.0,787.0,892.0,0.0,195.0,57261.0,0.0,0.0,0.0,0.0,68.0,0.0,39.0,0.0,0.0,0.0,0.0,33.0,0.0,666.0,0.0,0.0,0.0,114.0,89.0,0.0,5.0,0.0,27.0,0.0,6.0,2206.0
AA_R_E_S_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510761.0,0.0,1868426.0,0.0,0.0,436354.0,0.0,0.0,6772643.0,777570.0,0.0,0.0,0.0,666705.0,0.0,4123351.0,0.0,0.0,32.0,0.0,10012.0,1438.0,0.0,0.0,0.0,0.0,2062.0,0.0,5769.0,0.0,0.0,1451.0,0.0,0.0,24178.0,2766.0,0.0,0.0,4944.0,4102.0,0.0,14762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,328.0,0.0,0.0,100.0,0.0,0.0,1633.0,186.0,0.0,0.0,185.0,174.0,0.0,1041.0,0.0
ABIDE_Mickeyboy,0.0,0.0,0.0,0.0,0.0,3115.0,0.0,0.0,0.0,0.0,682977.0,898437.0,0.0,18725083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386828.0,0.0,372879.0,0.0,0.0,833.0,0.0,4413.0,1256.0,262.0,381.0,1851.0,152.0,432.0,1686.0,3659.0,1922.0,65068.0,719.0,136.0,1117.0,1222.0,1977.0,963.0,745.0,907.0,3734.0,52.0,977.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,157.0,0.0,3868.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,244.0,0.0,62.0,0.0
AC Skullbreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11373809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,3405.0,1372.0,18.0,1196.0,0.0,2178.0,40044.0,0.0,17.0,0.0,7578.0,0.0,0.0,0.0,5717.0,0.0,0.0,3658.0,0.0,0.0,8.0,11764.0,2197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0
AG TO OP,0.0,0.0,0.0,953553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108545.0,6683814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,127.0,762.0,6204.0,852.0,317.0,1538.0,0.0,236.0,0.0,1093.0,25157.0,983.0,493.0,1444.0,290.0,199.0,4001.0,30088.0,251.0,2297.0,544.0,1272.0,0.0,0.0,3456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIM-ga-TORISU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17260132.0,0.0,0.0,0.0,24768.0,0.0,0.0,2447.0,0.0,0.0,0.0,0.0,0.0,2470.0,0.0,1276.0,0.0,0.0,6800.0,3991.0,120.0,452.0,0.0,0.0,0.0,1690.0,67141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2295.0
AIfxnzy-,0.0,0.0,0.0,2363717.0,0.0,0.0,0.0,0.0,0.0,0.0,1054459.0,743266.0,15938382.0,0.0,0.0,0.0,0.0,0.0,943664.0,0.0,44796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3134.0,8500.0,294.0,23.0,0.0,0.0,0.0,0.0,4090.0,2537.0,68178.0,0.0,0.0,0.0,0.0,624.0,4291.0,2.0,749.0,318.0,0.0,0.0,0.0,3474.0,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,130.0,4215.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
ALSHANAB__,0.0,0.0,0.0,322374.0,356740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21536152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,879.0,0.0,348.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88383.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOTP DEIMOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124021.0,0.0,0.0,0.0,0.0,0.0,0.0,1263183.0,0.0,0.0,0.0,271008.0,0.0,0.0,17728361.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,531.0,0.0,0.0,543.0,441.0,0.0,0.0,0.0,0.0,0.0,5180.0,4866.0,0.0,0.0,10.0,953.0,0.0,0.0,65151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5423.0
APex_WHITEWOLF,0.0,413183.0,0.0,0.0,444669.0,315233.0,23663.0,0.0,0.0,0.0,96158.0,1102688.0,0.0,0.0,0.0,0.0,0.0,801346.0,458899.0,82375.0,1023002.0,0.0,151353.0,0.0,19853.0,14164808.0,0.0,1368.0,358.0,0.0,1634.0,1231.0,85.0,0.0,0.0,0.0,322.0,4089.0,0.0,0.0,0.0,0.0,0.0,3015.0,1834.0,287.0,3869.0,0.0,495.0,0.0,76.0,65340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,137.0,0.0,0.0,0.0,0.0,0.0,94.0,47.0,3.0,0.0,0.0,20.0,0.0,4.0,2083.0
