player_name,career_kills,career_wins,career_revives,legend,BR Kills,BR Damage,BR Wins
Akes,0,0,0,Global,0,0,0
Akes,0,0,0,Revenant,0,0,0
Akes,0,0,0,Crypto,0,0,0
Akes,0,0,0,Horizon,0,0,0
Akes,0,0,0,Gibraltar,0,0,0
Akes,0,0,0,Wattson,0,0,0
Akes,0,0,0,Fuse,0,0,0
Akes,0,0,0,Bangalore,0,0,0
Akes,0,0,0,Wraith,0,0,0
Akes,0,0,0,Octane,0,0,0
Akes,0,0,0,Bloodhound,0,0,0
Akes,0,0,0,Caustic,0,0,0
Akes,0,0,0,Lifeline,0,0,0
Akes,0,0,0,Pathfinder,0,0,0
Akes,0,0,0,Loba,0,0,0
Akes,0,0,0,Mirage,0,0,0
Akes,0,0,0,Rampart,0,0,0
Akes,0,0,0,Valkyrie,0,0,0
Akes,0,0,0,Seer,0,0,0
Akes,0,0,0,Ash,0,0,0
Akes,0,0,0,Mad Maggie,0,0,0
Akes,0,0,0,Newcastle,0,0,0
Akes,0,0,0,Vantage,0,0,0
Akes,0,0,0,Catalyst,0,0,0
Akes,0,0,0,Ballistic,0,0,0
Akes,0,0,0,Conduit,0,0,0
Akes,0,0,0,Alter,0,0,0
HappieVIII,272000,11058,18389,Global,0,0,0
HappieVIII,272000,11058,18389,Revenant,789,58285,0
HappieVIII,272000,11058,18389,Crypto,82,0,0
HappieVIII,272000,11058,18389,Horizon,235985,51520613,10000
HappieVIII,272000,11058,18389,Gibraltar,1192,0,0
HappieVIII,272000,11058,18389,Wattson,98,0,0
HappieVIII,272000,11058,18389,Fuse,24,0,0
HappieVIII,272000,11058,18389,Bangalore,1212,0,0
HappieVIII,272000,11058,18389,Wraith,13603,0,0
HappieVIII,272000,11058,18389,Octane,2807,0,0
HappieVIII,272000,11058,18389,Bloodhound,1366,0,0
HappieVIII,272000,11058,18389,Caustic,189,0,0
HappieVIII,272000,11058,18389,Lifeline,717,0,0
HappieVIII,272000,11058,18389,Pathfinder,3791,977129,198
HappieVIII,272000,11058,18389,Loba,1142,56573,10
HappieVIII,272000,11058,18389,Mirage,125,0,0
HappieVIII,272000,11058,18389,Rampart,0,0,0
HappieVIII,272000,11058,18389,Valkyrie,2094,0,0
HappieVIII,272000,11058,18389,Seer,0,0,0
HappieVIII,272000,11058,18389,Ash,0,0,0
HappieVIII,272000,11058,18389,Mad Maggie,22,0,0
HappieVIII,272000,11058,18389,Newcastle,67,0,0
HappieVIII,272000,11058,18389,Vantage,0,0,0
HappieVIII,272000,11058,18389,Catalyst,190,0,0
HappieVIII,272000,11058,18389,Ballistic,0,0,0
HappieVIII,272000,11058,18389,Conduit,20,4737,0
HappieVIII,272000,11058,18389,Alter,0,0,0
imVashy,226681,12725,25544,Global,0,0,0
imVashy,226681,12725,25544,Revenant,55,0,0
imVashy,226681,12725,25544,Crypto,44,0,0
imVashy,226681,12725,25544,Horizon,0,0,0
imVashy,226681,12725,25544,Gibraltar,252,0,0
imVashy,226681,12725,25544,Wattson,70,0,0
imVashy,226681,12725,25544,Fuse,7,0,0
imVashy,226681,12725,25544,Bangalore,127,0,0
imVashy,226681,12725,25544,Wraith,220379,57477774,12001
imVashy,226681,12725,25544,Octane,3167,0,0
imVashy,226681,12725,25544,Bloodhound,119,0,0
imVashy,226681,12725,25544,Caustic,237,0,0
imVashy,226681,12725,25544,Lifeline,163,0,0
imVashy,226681,12725,25544,Pathfinder,276,0,0
imVashy,226681,12725,25544,Loba,80,0,0
